model,traffic_volume_mae,traffic_volume_rmse,traffic_volume_mape,traffic_volume_r2,congestion_level_mae,congestion_level_rmse,congestion_level_mape,congestion_level_r2,average_speed_mae,average_speed_rmse,average_speed_mape,average_speed_r2
LSTM,0.6833325028419495,0.8488979339599609,431.79121017456055,0.24186760784892591,0.6395852565765381,0.9593838453292847,318.9134359359741,0.0756167258861048,0.7909083366394043,0.9944022297859192,278.2430171966553,-0.003756862267990435
Transformer,0.6779336929321289,0.8459069728851318,432.4915885925293,0.247200536292983,0.6330187916755676,0.9487496018409729,297.0468997955322,0.09599560084404246,0.7905458807945251,0.994041919708252,282.271933555603,-0.0030295559676027928
Linear Regression,0.6896157264709473,0.8520598411560059,393.4725522994995,0.23620946768477713,0.7231358289718628,0.9060194492340088,209.2778444290161,0.17559169938509234,0.7969633340835571,1.0036548376083374,262.72597312927246,-0.022522994123464812
Random Forest,0.6860870057927688,0.8448872318834135,383.5574782508467,0.24901440545798892,0.7626617991793564,0.914697159439152,186.67053740150698,0.15972403176892302,0.7963678669647298,0.9983157829892282,339.19075142334145,-0.011673138608557343
XGBoost,0.6895415186882019,0.8516857028007507,465.2329921722412,0.2368800249483486,0.7153730988502502,0.9182766675949097,202.2705316543579,0.15313462647108633,0.8029793500900269,1.010987639427185,308.33756923675537,-0.03751885106263719
